H (A/m),T (K),File,cluster_ae,cluster_vae
151197.1958549925,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0020.vti,4,4
159154.9430052553,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0021.vti,4,4
167112.690155518,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0022.vti,4,4
175070.4373057808,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0023.vti,4,4
183028.1844560436,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0024.vti,1,4
190985.9316063063,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0025.vti,1,4
198943.6787565691,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0026.vti,1,4
206901.4259068318,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0027.vti,1,4
214859.1730570946,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0028.vti,1,4
222816.9202073574,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0029.vti,1,4
230774.6673576201,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0030.vti,1,4
238732.4145078829,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0031.vti,1,4
246690.1616581456,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0032.vti,1,4
254647.9088084084,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0033.vti,1,4
262605.6559586712,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0034.vti,2,4
270563.4031089339,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0035.vti,2,0
278521.1502591967,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0036.vti,2,0
286478.8974094595,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0037.vti,2,0
294436.6445597222,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0038.vti,2,0
302394.391709985,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0039.vti,2,0
310352.1388602477,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0040.vti,2,0
318309.8860105106,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0041.vti,2,0
326267.6331607733,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0042.vti,2,0
334225.380311036,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0043.vti,2,0
342183.1274612988,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0044.vti,2,0
350140.8746115616,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0045.vti,2,0
358098.6217618244,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0046.vti,2,0
366056.3689120871,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0047.vti,2,0
374014.1160623499,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0048.vti,2,0
381971.8632126126,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0049.vti,2,0
389929.6103628754,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0050.vti,2,0
397887.3575131382,960.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_960.0/fields_0051.vti,2,0
0.0,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0001.vti,3,1
7957.747150262763,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0002.vti,3,1
15915.49430052553,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0003.vti,3,1
23873.24145078829,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0004.vti,3,1
31830.98860105105,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0005.vti,3,1
39788.73575131382,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0006.vti,3,1
47746.48290157657,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0007.vti,3,1
55704.23005183935,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0008.vti,3,1
63661.97720210211,2580.0,/scratch/holtsamu/fege_phase_diagram/temperature_field_diagram/data/data_2580.0/fields_0009.vti,3,1
